id;nome_estudante;email;telefone
1;yin above;Calebe.Macedo@hotmail.com;clueless frightfully
2;as;AnaClara72@yahoo.com;or
3;however than;JoaoMiguel.Moraes@hotmail.com;above microchip
4;substantial;Enzo82@gmail.com;justly duh trial
5;slake youthfully ah;Pablo67@gmail.com;rewarding inasmuch
6;pocket-watch sticky towards;JoaoLucas.Nogueira65@live.com;upbeat near ordinary
7;simple;Marina.Braga72@bol.com.br;than punctually
8;suffice provided yowza;Isabella.Costa59@hotmail.com;brilliant modulo
9;trek;Manuela_Macedo55@bol.com.br;huzzah uh-huh intermarry
10;ostrich;Matheus.Martins70@hotmail.com;march
